ID_product	Product	ID	index	CHEBI.Label	CHEBI.ID	Concentration	unit	value
		ID		I 'active ingredient in'	TYPE			I 'has concentration value'
PESTON:0114693	VIP 80 EC	PESTON:0700103	103	(S)-cloquintocet-mexyl	CHEBI:143154	8.1	%	8.1
PESTON:0114694	CELIO 80 EC	PESTON:0700104	104	(S)-cloquintocet-mexyl	CHEBI:143154	8.1	%	8.1
PESTON:0116455	GRIMS 10	PESTON:0700105	105	(S)-cloquintocet-mexyl	CHEBI:143154	9.4	%	9.4
PESTON:0117015	NAGANO 200 OD	PESTON:0700106	106	(S)-cloquintocet-mexyl	CHEBI:143154	9.7	%	9.7
PESTON:0116092	CICLOPE	PESTON:0700107	107	(S)-cloquintocet-mexyl	CHEBI:143154	9.8	%	9.8
PESTON:0117870	ORIONIDE 9,5 EC	PESTON:0700108	108	(S)-cloquintocet-mexyl	CHEBI:143154	9.9	%	9.9
PESTON:0113387	FLORAMIX	PESTON:0700109	109	(S)-cloquintocet-mexyl	CHEBI:143154	14.2	%	14.2
PESTON:0115825	COLIAFLIX	PESTON:0700110	110	(S)-cloquintocet-mexyl	CHEBI:143154	14.2	%	14.2
PESTON:0116370	CORELLO	PESTON:0700111	111	(S)-cloquintocet-mexyl	CHEBI:143154	14.2	%	14.2
PESTON:0113332	VIP	PESTON:0700112	112	(S)-cloquintocet-mexyl	CHEBI:143154	22.1	%	22.1
PESTON:0113807	RAVENAS	PESTON:0700113	113	(S)-cloquintocet-mexyl	CHEBI:143154	22.1	%	22.1
PESTON:0114728	CELIO	PESTON:0700114	114	(S)-cloquintocet-mexyl	CHEBI:143154	22.1	%	22.1
PESTON:0115316	HAWK	PESTON:0700115	115	(S)-cloquintocet-mexyl	CHEBI:143154	22.1	%	22.1
PESTON:0114245	THIRAS	PESTON:0700116	116	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0116828	MAKURI MAX	PESTON:0700117	117	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0116963	AVENOX 240	PESTON:0700118	118	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0117016	TRACE 240	PESTON:0700119	119	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0117452	TARCAN	PESTON:0700120	120	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0117475	RODAL 240	PESTON:0700121	121	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0117476	ATROP 240	PESTON:0700122	122	(S)-cloquintocet-mexyl	CHEBI:143154	22.2	%	22.2
PESTON:0114174	TOPIK	PESTON:0700123	123	(S)-cloquintocet-mexyl	CHEBI:143154	22.3	%	22.3
PESTON:0115632	VERDE CLODINAFOP	PESTON:0700124	124	(S)-cloquintocet-mexyl	CHEBI:143154	22.3	%	22.3
PESTON:0108929	TOPIK 240 EC	PESTON:0700125	125	(S)-cloquintocet-mexyl	CHEBI:143154	22.8	%	22.8
PESTON:0113388	BROADWAY	PESTON:0700126	126	(S)-cloquintocet-mexyl	CHEBI:143154	22.8	%	22.8
PESTON:0116994	GRIMS DUO	PESTON:0700127	127	(S)-cloquintocet-mexyl	CHEBI:143154	23.5	%	23.5
PESTON:0117455	PALIO	PESTON:0700128	128	(S)-cloquintocet-mexyl	CHEBI:143154	75	%	75
PESTON:0113736	TRACE	PESTON:0700129	129	(S)-cloquintocet-mexyl	CHEBI:143154	80.8	%	80.8
PESTON:0106192	ANTIDROP	PESTON:0700130	130	(S)-dichlorprop(1-)	CHEBI:75287	3	%	3
PESTON:0106316	FENADIN S	PESTON:0700131	131	(S)-fenarimol	CHEBI:83689	2	%	2
PESTON:0105430	FENADIN	PESTON:0700132	132	(S)-fenarimol	CHEBI:83689	4	%	4
PESTON:0106516	RUMIDIN BLEND	PESTON:0700133	133	(S)-fenarimol	CHEBI:83689	4	%	4
PESTON:0106522	RUBIGAN BLEND	PESTON:0700134	134	(S)-fenarimol	CHEBI:83689	4	%	4
PESTON:0107171	GUANIDOL FD	PESTON:0700135	135	(S)-fenarimol	CHEBI:83689	4	%	4
