ID of ingredient concentration	index	ID of product (if we want to link to it)	ID of active ingredient instance	type	Concentration	value	unit
ID			I 'is about'	TYPE		I 'has value'	I 'has unit'
PESTON:0912100	12100	PESTON:0117004	PESTON:0712100	ingredient concentration	30.4	30.4	UOM:%25
PESTON:0912101	12101	PESTON:0117009	PESTON:0712101	ingredient concentration	30.4	30.4	UOM:%25
PESTON:0912102	12102	PESTON:0113972	PESTON:0712102	ingredient concentration	30.6	30.6	UOM:%25
PESTON:0912103	12103	PESTON:0102634	PESTON:0712103	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912104	12104	PESTON:0104833	PESTON:0712104	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912105	12105	PESTON:0107630	PESTON:0712105	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912106	12106	PESTON:0108201	PESTON:0712106	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912107	12107	PESTON:0109602	PESTON:0712107	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912108	12108	PESTON:0109675	PESTON:0712108	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912109	12109	PESTON:0110209	PESTON:0712109	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912110	12110	PESTON:0110404	PESTON:0712110	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912111	12111	PESTON:0110897	PESTON:0712111	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912112	12112	PESTON:0111099	PESTON:0712112	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912113	12113	PESTON:0111729	PESTON:0712113	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912114	12114	PESTON:0111922	PESTON:0712114	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912115	12115	PESTON:0112411	PESTON:0712115	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912116	12116	PESTON:0113670	PESTON:0712116	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912117	12117	PESTON:0113943	PESTON:0712117	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912118	12118	PESTON:0114082	PESTON:0712118	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912119	12119	PESTON:0114083	PESTON:0712119	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912120	12120	PESTON:0114771	PESTON:0712120	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912121	12121	PESTON:0115086	PESTON:0712121	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912122	12122	PESTON:0115087	PESTON:0712122	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912123	12123	PESTON:0115277	PESTON:0712123	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912124	12124	PESTON:0115278	PESTON:0712124	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912125	12125	PESTON:0116504	PESTON:0712125	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912126	12126	PESTON:0116539	PESTON:0712126	ingredient concentration	30.7	30.7	UOM:%25
PESTON:0912127	12127	PESTON:0105193	PESTON:0712127	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912128	12128	PESTON:0108382	PESTON:0712128	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912129	12129	PESTON:0108575	PESTON:0712129	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912130	12130	PESTON:0108984	PESTON:0712130	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912131	12131	PESTON:0109056	PESTON:0712131	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912132	12132	PESTON:0109246	PESTON:0712132	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912133	12133	PESTON:0109318	PESTON:0712133	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912134	12134	PESTON:0109335	PESTON:0712134	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912135	12135	PESTON:0109518	PESTON:0712135	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912136	12136	PESTON:0109751	PESTON:0712136	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912137	12137	PESTON:0109989	PESTON:0712137	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912138	12138	PESTON:0110260	PESTON:0712138	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912139	12139	PESTON:0110392	PESTON:0712139	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912140	12140	PESTON:0110424	PESTON:0712140	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912141	12141	PESTON:0110456	PESTON:0712141	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912142	12142	PESTON:0110494	PESTON:0712142	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912143	12143	PESTON:0110509	PESTON:0712143	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912144	12144	PESTON:0110584	PESTON:0712144	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912145	12145	PESTON:0110998	PESTON:0712145	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912146	12146	PESTON:0111127	PESTON:0712146	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912147	12147	PESTON:0111791	PESTON:0712147	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912148	12148	PESTON:0111852	PESTON:0712148	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912149	12149	PESTON:0111853	PESTON:0712149	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912150	12150	PESTON:0111854	PESTON:0712150	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912151	12151	PESTON:0111975	PESTON:0712151	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912152	12152	PESTON:0114373	PESTON:0712152	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912153	12153	PESTON:0114465	PESTON:0712153	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912154	12154	PESTON:0114647	PESTON:0712154	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912155	12155	PESTON:0114973	PESTON:0712155	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912156	12156	PESTON:0115401	PESTON:0712156	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912157	12157	PESTON:0115431	PESTON:0712157	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912158	12158	PESTON:0115432	PESTON:0712158	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912159	12159	PESTON:0115442	PESTON:0712159	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912160	12160	PESTON:0115592	PESTON:0712160	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912161	12161	PESTON:0115619	PESTON:0712161	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912162	12162	PESTON:0115644	PESTON:0712162	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912163	12163	PESTON:0116326	PESTON:0712163	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912164	12164	PESTON:0116327	PESTON:0712164	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912165	12165	PESTON:0116387	PESTON:0712165	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912166	12166	PESTON:0116411	PESTON:0712166	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912167	12167	PESTON:0116546	PESTON:0712167	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912168	12168	PESTON:0116830	PESTON:0712168	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912169	12169	PESTON:0116967	PESTON:0712169	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912170	12170	PESTON:0116989	PESTON:0712170	ingredient concentration	30.8	30.8	UOM:%25
PESTON:0912171	12171	PESTON:0109011	PESTON:0712171	ingredient concentration	30.9	30.9	UOM:%25
PESTON:0912172	12172	PESTON:0109364	PESTON:0712172	ingredient concentration	30.9	30.9	UOM:%25
PESTON:0912173	12173	PESTON:0109803	PESTON:0712173	ingredient concentration	30.9	30.9	UOM:%25
PESTON:0912174	12174	PESTON:0112329	PESTON:0712174	ingredient concentration	30.9	30.9	UOM:%25
PESTON:0912175	12175	PESTON:0116412	PESTON:0712175	ingredient concentration	30.9	30.9	UOM:%25
PESTON:0912176	12176	PESTON:0116414	PESTON:0712176	ingredient concentration	30.9	30.9	UOM:%25
PESTON:0912177	12177	PESTON:0108377	PESTON:0712177	ingredient concentration	31	31	UOM:%25
PESTON:0912178	12178	PESTON:0108429	PESTON:0712178	ingredient concentration	31	31	UOM:%25
PESTON:0912179	12179	PESTON:0108859	PESTON:0712179	ingredient concentration	31	31	UOM:%25
PESTON:0912180	12180	PESTON:0109186	PESTON:0712180	ingredient concentration	31	31	UOM:%25
PESTON:0912181	12181	PESTON:0109591	PESTON:0712181	ingredient concentration	31	31	UOM:%25
PESTON:0912182	12182	PESTON:0110102	PESTON:0712182	ingredient concentration	31	31	UOM:%25
PESTON:0912183	12183	PESTON:0110367	PESTON:0712183	ingredient concentration	31	31	UOM:%25
PESTON:0912184	12184	PESTON:0112670	PESTON:0712184	ingredient concentration	31	31	UOM:%25
PESTON:0912185	12185	PESTON:0114390	PESTON:0712185	ingredient concentration	31	31	UOM:%25
PESTON:0912186	12186	PESTON:0114505	PESTON:0712186	ingredient concentration	31	31	UOM:%25
PESTON:0912187	12187	PESTON:0114714	PESTON:0712187	ingredient concentration	31	31	UOM:%25
PESTON:0912188	12188	PESTON:0114821	PESTON:0712188	ingredient concentration	31	31	UOM:%25
PESTON:0912189	12189	PESTON:0115146	PESTON:0712189	ingredient concentration	31	31	UOM:%25
PESTON:0912190	12190	PESTON:0109380	PESTON:0712190	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912191	12191	PESTON:0114718	PESTON:0712191	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912192	12192	PESTON:0114836	PESTON:0712192	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912193	12193	PESTON:0114837	PESTON:0712193	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912194	12194	PESTON:0114838	PESTON:0712194	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912195	12195	PESTON:0115056	PESTON:0712195	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912196	12196	PESTON:0115589	PESTON:0712196	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912197	12197	PESTON:0116256	PESTON:0712197	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912198	12198	PESTON:0116787	PESTON:0712198	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912199	12199	PESTON:0116794	PESTON:0712199	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912200	12200	PESTON:0116795	PESTON:0712200	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912201	12201	PESTON:0116831	PESTON:0712201	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912202	12202	PESTON:0116916	PESTON:0712202	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912203	12203	PESTON:0116917	PESTON:0712203	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912204	12204	PESTON:0116961	PESTON:0712204	ingredient concentration	31.2	31.2	UOM:%25
PESTON:0912205	12205	PESTON:0114440	PESTON:0712205	ingredient concentration	31.8	31.8	UOM:%25
PESTON:0912206	12206	PESTON:0115096	PESTON:0712206	ingredient concentration	32.4	32.4	UOM:%25
PESTON:0912207	12207	PESTON:0115318	PESTON:0712207	ingredient concentration	32.8	32.8	UOM:%25
PESTON:0912208	12208	PESTON:0107676	PESTON:0712208	ingredient concentration	34	34	UOM:%25
PESTON:0912209	12209	PESTON:0109017	PESTON:0712209	ingredient concentration	34	34	UOM:%25
PESTON:0912210	12210	PESTON:0110084	PESTON:0712210	ingredient concentration	34	34	UOM:%25
PESTON:0912211	12211	PESTON:0111418	PESTON:0712211	ingredient concentration	34.4	34.4	UOM:%25
PESTON:0912212	12212	PESTON:0112207	PESTON:0712212	ingredient concentration	34.4	34.4	UOM:%25
PESTON:0912213	12213	PESTON:0106250	PESTON:0712213	ingredient concentration	34.5	34.5	UOM:%25
PESTON:0912214	12214	PESTON:0109102	PESTON:0712214	ingredient concentration	35	35	UOM:%25
PESTON:0912215	12215	PESTON:0114737	PESTON:0712215	ingredient concentration	35.7	35.7	UOM:%25
PESTON:0912216	12216	PESTON:0108393	PESTON:0712216	ingredient concentration	36	36	UOM:%25
PESTON:0912217	12217	PESTON:0108897	PESTON:0712217	ingredient concentration	36	36	UOM:%25
PESTON:0912218	12218	PESTON:0108972	PESTON:0712218	ingredient concentration	36	36	UOM:%25
PESTON:0912219	12219	PESTON:0109090	PESTON:0712219	ingredient concentration	36	36	UOM:%25
PESTON:0912220	12220	PESTON:0109122	PESTON:0712220	ingredient concentration	36	36	UOM:%25
PESTON:0912221	12221	PESTON:0109879	PESTON:0712221	ingredient concentration	36	36	UOM:%25
PESTON:0912222	12222	PESTON:0110242	PESTON:0712222	ingredient concentration	36	36	UOM:%25
PESTON:0912223	12223	PESTON:0110407	PESTON:0712223	ingredient concentration	36	36	UOM:%25
PESTON:0912224	12224	PESTON:0112629	PESTON:0712224	ingredient concentration	36	36	UOM:%25
PESTON:0912225	12225	PESTON:0116867	PESTON:0712225	ingredient concentration	36	36	UOM:%25
PESTON:0912226	12226	PESTON:0114926	PESTON:0712226	ingredient concentration	37.3	37.3	UOM:%25
PESTON:0912227	12227	PESTON:0114946	PESTON:0712227	ingredient concentration	37.3	37.3	UOM:%25
PESTON:0912228	12228	PESTON:0114947	PESTON:0712228	ingredient concentration	37.3	37.3	UOM:%25
PESTON:0912229	12229	PESTON:0111494	PESTON:0712229	ingredient concentration	37.5	37.5	UOM:%25
PESTON:0912230	12230	PESTON:0111823	PESTON:0712230	ingredient concentration	37.5	37.5	UOM:%25
PESTON:0912231	12231	PESTON:0112973	PESTON:0712231	ingredient concentration	37.6	37.6	UOM:%25
PESTON:0912232	12232	PESTON:0114969	PESTON:0712232	ingredient concentration	39.4	39.4	UOM:%25
PESTON:0912233	12233	PESTON:0111736	PESTON:0712233	ingredient concentration	39.7	39.7	UOM:%25
PESTON:0912234	12234	PESTON:0112249	PESTON:0712234	ingredient concentration	39.7	39.7	UOM:%25
PESTON:0912235	12235	PESTON:0115366	PESTON:0712235	ingredient concentration	39.7	39.7	UOM:%25
PESTON:0912236	12236	PESTON:0115367	PESTON:0712236	ingredient concentration	39.7	39.7	UOM:%25
PESTON:0912237	12237	PESTON:0117032	PESTON:0712237	ingredient concentration	39.7	39.7	UOM:%25
PESTON:0912238	12238	PESTON:0117044	PESTON:0712238	ingredient concentration	39.8	39.8	UOM:%25
PESTON:0912239	12239	PESTON:0108305	PESTON:0712239	ingredient concentration	40	40	UOM:%25
PESTON:0912240	12240	PESTON:0115026	PESTON:0712240	ingredient concentration	40	40	UOM:%25
PESTON:0912241	12241	PESTON:0115027	PESTON:0712241	ingredient concentration	40	40	UOM:%25
PESTON:0912242	12242	PESTON:0116255	PESTON:0712242	ingredient concentration	40	40	UOM:%25
PESTON:0912243	12243	PESTON:0115104	PESTON:0712243	ingredient concentration	40.3	40.3	UOM:%25
PESTON:0912244	12244	PESTON:0104401	PESTON:0712244	ingredient concentration	41	41	UOM:%25
PESTON:0912245	12245	PESTON:0105812	PESTON:0712245	ingredient concentration	41	41	UOM:%25
PESTON:0912246	12246	PESTON:0106179	PESTON:0712246	ingredient concentration	41	41	UOM:%25
PESTON:0912247	12247	PESTON:0107949	PESTON:0712247	ingredient concentration	41	41	UOM:%25
PESTON:0912248	12248	PESTON:0108238	PESTON:0712248	ingredient concentration	41	41	UOM:%25
PESTON:0912249	12249	PESTON:0109773	PESTON:0712249	ingredient concentration	41	41	UOM:%25
PESTON:0912250	12250	PESTON:0109805	PESTON:0712250	ingredient concentration	41	41	UOM:%25
